directory_id,path,parent_id_raw,subtable_offset,first_file_id
61440,/,69,552,87
61441,/application,61440,717,87
61442,/application/custom_ball,61441,757,87
61443,/application/custom_ball/data,61442,765,87
61444,/application/wifi_earth,61441,779,88
61445,/application/zukanlist,61441,818,90
61446,/application/zukanlist/zkn_data,61445,830,90
61447,/arc,61440,891,93
61448,/battle,61440,975,99
61449,/battle/b_tower,61448,1012,99
61450,/battle/graphic,61448,1035,101
61451,/battle/skill,61448,1112,106
61452,/battle/tr_ai,61448,1152,109
61453,/contest,61440,1168,110
61454,/contest/data,61453,1186,110
61455,/contest/graphic,61453,1205,111
61456,/data,61440,1239,113
61457,/data/mmodel,61456,3374,244
61458,/data/sound,61456,3399,246
61459,/demo,61440,3416,247
61460,/demo/egg,61459,3459,247
61461,/demo/egg/data,61460,3467,247
61462,/demo/egg/data/particle,61461,3493,248
61463,/demo/intro,61459,3517,249
61464,/demo/shinka,61459,3543,251
61465,/demo/shinka/data,61464,3551,251
61466,/demo/shinka/data/particle,61465,3563,251
61467,/demo/syoujyou,61459,3590,252
61468,/demo/title,61459,3605,253
61469,/dwc,61440,3634,255
61470,/fielddata,61440,3647,256
61471,/fielddata/areadata,61470,3769,256
61472,/fielddata/areadata/area_build_model,61471,3837,257
61473,/fielddata/areadata/area_map_tex,61471,3873,259
61474,/fielddata/areadata/area_move_model,61471,3891,260
61475,/fielddata/build_model,61470,3913,261
61476,/fielddata/encountdata,61470,3954,263
61477,/fielddata/eventdata,61470,3987,265
61478,/fielddata/land_data,61470,4012,266
61479,/fielddata/mapmatrix,61470,4036,267
61480,/fielddata/maptable,61470,4053,268
61481,/fielddata/mm_list,61470,4066,269
61482,/fielddata/pokemon_trade,61470,4088,270
61483,/fielddata/script,61470,4104,271
61484,/graphic,61440,4126,272
61485,/itemtool,61440,4741,314
61486,/itemtool/itemdata,61485,4753,314
61487,/msgdata,61440,4799,317
61488,/msgdata/scenario,61487,4820,318
61489,/particledata,61440,4834,319
61490,/pokeanime,61440,4853,320
61491,/poketool,61440,4868,321
61492,/poketool/icongra,61491,4984,323
61493,/poketool/personal,61491,5000,324
61494,/poketool/pokeanm,61491,5057,329
61495,/poketool/pokefoot,61491,5071,330
61496,/poketool/pokegra,61491,5086,331
61497,/poketool/trainer,61491,5194,338
61498,/poketool/trgra,61491,5219,340
61499,/poketool/trmsg,61491,5244,342
61500,/poketool/waza,61491,5270,344
61501,/resource,61440,5285,345
61502,/resource/eng,61501,5292,345
61503,/resource/eng/trial,61502,5309,345
61504,/resource/eng/zukan,61502,5321,346
61505,/wazaeffect,61440,5333,347
61506,/wazaeffect/effectclact,61505,5391,349
61507,/wazaeffect/effectdata,61505,5443,353
61508,/wazaeffect/pt_debug,61505,5482,355
